stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
"208756","Warringah Rd opp Valley Rd","-33.764052","151.205926","","","1",""
"208811","Spit West Reserve, Spit Rd","-33.806202","151.246416","","","1",""
"208812","Spit East Reserve, Spit Rd","-33.805262","151.246537","","","1",""
"208813","Spofforth St after Military Rd","-33.82849","151.230375","","","1",""
"208814","Spofforth St at Holt Ave","-33.830677","151.229905","","","1",""
"208815","Spofforth St at Brierley St","-33.832352","151.229556","","","1",""
"208816","Spofforth St at Reginald St","-33.83364","151.229295","","","1",""
"208817","Spofforth St opp Florence Lane","-33.83481","151.22904","","","1",""
"208818","Spit Junction, Military Rd","-33.82471","151.241462","","","1",""
"208819","Mandalong Rd opp Melaleuca Lane","-33.825182","151.243456","","","1",""
"208821","Moruben Rd at Clifford St","-33.824253","151.244756","","","1",""
"208822","Spit Junction, Punch St","-33.823364","151.243756","","","1",""
"208823","Moruben Rd at Awaba St","-33.821582","151.245299","","","1",""
"208824","Moruben Rd at Stanton Rd","-33.819379","151.245871","","","1",""
"208825","Stanton Rd after Spit Rd","-33.818934","151.244488","","","1",""
"208826","Stanton Rd at Tivoli St","-33.81932","151.247264","","","1",""
"208827","Kirkoswald Ave before Fairfax Rd","-33.818626","151.249179","","","1",""
"208828","Kirkoswald Ave at Fairfax Rd","-33.817762","151.249348","","","1",""
"208829","Kirkoswald Ave before Burran Ave","-33.81676","151.251151","","","1",""
"208830","Burran Ave after Stanton Rd","-33.818532","151.25145","","","1",""
"208831","Burran Ave at Stanton Rd","-33.81946","151.250851","","","1",""
"208832","Wyargine St at Edwards Bay Rd","-33.820519","151.250405","","","1",""
"208833","Edwards Bay Rd at The Grove","-33.820321","151.247891","","","1",""
"208834","The Grove at Edwards Bay Rd","-33.820501","151.247898","","","1",""
"208835","Edwards Bay Rd at Wyargine St","-33.82052","151.250136","","","1",""
"208836","Burran Ave at Stanton Rd","-33.819356","151.250723","","","1",""
"208837","Burran Ave opp Stanton Rd","-33.81836","151.251464","","","1",""
"208838","Burran Ave at Kirkoswald Ave","-33.816796","151.251766","","","1",""
"208839","Kirkoswald Ave at Fairfax Rd","-33.8179","151.249518","","","1",""
"208840","Kirkoswald Ave after Fairfax Rd","-33.818743","151.249351","","","1",""
"208841","Tivoli St at Kirkoswald Ave","-33.819091","151.247534","","","1",""
"208842","Stanton Rd opp Hampden St","-33.819367","151.246467","","","1",""
"208843","Moruben Rd at Awaba St","-33.821082","151.245581","","","1",""
"208844","Moruben Rd opp Punch St","-33.823167","151.245147","","","1",""
"208846","Military Rd at Almora St","-33.827128","151.244089","","","1",""
"208847","Military Rd opp Mosman High School","-33.828804","151.244151","","","1",""
"208848","Military Rd after Raglan St","-33.831395","151.24443","","","1",""
"208849","Bradleys Head Rd at King Max St","-33.834416","151.245787","","","1",""
"208850","Bradleys Head Rd after Ellamatta Rd","-33.835468","151.246465","","","1",""
"208851","Bradleys Head Rd opp Union St","-33.836711","151.246303","","","1",""
"208852","Bradleys Head Rd at Thompson St","-33.838847","151.245093","","","1",""
"208853","Bradleys Head Rd opp Whiting Beach Rd","-33.840849","151.243787","","","1",""
